, 30
start, 11
startled, 1
starts, 2
starving, 2
state, 3
statement, 1
stating, 1
station, 3
stationed, 1
statue, 4
stature, 1
status, 5
stay, 18
staying, 3
stays, 2
steadfast, 1
stealing, 3
steals, 1
steel, 6
steps, 2
steward, 1
stick, 4
sticks, 1
still, 10
stillbornson, 1
stitch, 1
stitches, 1
stockpile, 1
stockpiled, 1
stole, 2
stolen, 2
stonefaced, 1
stood, 1
stop, 15
stopped, 1
stops, 3
stories, 1
storms, 3
story, 10
storyline, 1
stows, 1
straight, 1
strained, 1
stranger, 1
strangled, 1
strategic, 1
strategist, 1
strategy, 3
straw, 1
street, 2
streets, 1
strengths, 1
stressed, 1
strewn, 1
strict, 1
strip, 1
striped, 1
stripped, 3
stripping, 1
stroke, 1
strongshouldered, 1
stronger, 1
strongest, 3
struck, 2
struggles, 1
study, 1
stuffed, 1
stunned, 1
stunt, 2
stupid, 3
stupidest, 2
stupidity, 1
style, 2
subdue, 1
subjects, 3
submit, 2
subtle, 2
succeeded, 2
success, 1
successfully, 1
succession, 1
successor, 1
succumb, 1
succumbed, 1
such, 2
sudden, 1
suffered, 2
sufferings, 1
sugarcoated, 1
suggest, 13
suggested, 3
suggestion, 2
suggests, 2
suicide, 1
suit, 1
suited, 1
sullen, 1
summon, 2
supernatural, 1
supplicant, 1
supplicants, 1
supplies, 2
supply, 3
support, 5
supported, 1
supporters, 1
supporting, 2
supposed, 4
sure, 3
surety, 1
surface, 1
surname, 1
surprised, 3
surrender, 12
surrendered, 1
surreptitiously, 1
surround, 1
surrounded, 3
surroundings, 2
survival, 1
survive, 3
surviving, 3
survivors, 2
suspect, 1
suspects, 1
suspicions, 1
suspicious, 1
sustain, 1
sustained, 1
swayed, 1
swear, 6
swears, 1
sweep, 1
sweeping, 1
sweet, 2
sweettalk, 1
swim, 1
swings, 1
swipe, 1
switch, 2
switching, 1
swoops, 1
sword, 23
swordsmanship, 1
swore, 2
sworn, 5
sycophants, 1
symbol, 2
symbolize, 1
symbols, 1
sympathetic, 1
sympathy, 1
taboo, 1
tackles, 1
tactician, 1
tactics, 3
take, 42
taken, 14
takes, 5
taking, 7
talents, 1
tales, 2
talk, 8
talking, 1
tally, 1
tanned, 1
target, 2
targeted, 1
task, 1
tasked, 1
tasks, 2
tattoos, 1
taught, 5
taunt, 2
tavern, 1
taxes, 1
teach, 1
teacher, 1
teaches, 1
team, 2
tearful, 2
tearfully, 1
tearing, 1
tears, 4
tease, 1
teeth, 1
television, 1
tell, 87
telling, 2
tells, 19
temper, 3
tempting, 1
ten, 1
tendency, 1
tender, 1
tense, 2
tent, 1
tenure, 2
terminates, 1
terms, 5
terrible, 2
terrified, 2
terrify, 1
terror, 2
test, 3
testified, 2
testify, 1
than, 22
thawing, 1
theater, 1
theft, 1
their, 126
them, 62
themselves, 2
then, 2
there, 19
these, 2
theyll, 2
theyre, 3
theyve, 2
thing, 3
things, 11
think, 18
thinks, 5
thinly, 1
third, 6
this, 12
those, 6
though, 2
thought, 3
thousand, 6
thousands, 7
threat, 6
threaten, 8
threatened, 2
threatening, 3
threatens, 9
threats, 3
three, 12
throat, 7
through, 30
throughout, 3
throw, 5
throwing, 2
thrown, 2
throws, 1
thrust, 1
thunder, 1
thwarting, 1
tie, 1
ties, 1
time, 24
times, 6
timid, 2
tiny, 1
tired, 1
tissue, 1
title, 2
titles, 2
to, 1390
toast, 2
together, 6
tokens, 1
told, 7
tolerance, 1
tolling, 1
tomboy, 1
tone, 1
too, 22
took, 4
top, 7
topic, 1
torment, 1
torn, 1
torso, 1
torture, 2
tortured, 2
touched, 2
touches, 2
tour, 1
tournament, 1
tourney, 1
toward, 2
towards, 9
toys, 3
trade, 2
traders, 1
traditional, 2
traditionally, 1
tragic, 1
trained, 2
training, 9
trait, 1
translated, 1
transport, 1
trap, 6
trapped, 1
trauma, 1
traumas, 1
travel, 3
traveled, 1
traveling, 3
travels, 1
traverses, 1
treacherous, 1
treason, 6
treasonous, 1
treat, 3
treated, 3
treatment, 1
tree, 7
trees, 1
trench, 1
trial, 12
tribes, 6
trick, 2
tricks, 1
tried, 2
tries, 11
trifles, 1
trio, 1
triumphantly, 1
troop, 1
troops, 2
trouble, 2
troubled, 1
troubles, 1
troublesome, 1
troupe, 2
truce, 4
true, 13
trueborn, 4
truly, 5
trumpedup, 1
truncated, 1
trust, 11
trusts, 1
truth, 12
truthful, 2
try, 43
trying, 10
tunnel, 4
tunnels, 1
turn, 8
turned, 2
turning, 1
turns, 1
twelve, 1
twenty, 1
twin, 2
two, 37
type, 17
types, 1
tyrants, 1
ultimate, 2
ultimately, 1
ultimatum, 1
unable, 8
unaired, 1
unaware, 2
unborn, 1
unbuckles, 1
uncertain, 2
uncharacteristic, 1
uncharted, 1
uncle, 9
unclear, 2
uncles, 1
uncomfortable, 1
unconcerned, 1
unconditional, 1
unconditionally, 1
unconscious, 4
unconstrained, 1
unconsummated, 1
unconvinced, 1
undead, 2
undercut, 1
underground, 2
undermanned, 1
undermine, 2
underneath, 3
understand, 7
undertone, 2
undone, 1
unexpected, 1
unexpectedly, 1
unfavorable, 1
unfazed, 1
unfit, 1
unfolded, 1
unhappy, 1
unharmed, 1
unintentionally, 1
unique, 1
unite, 2
unknowingly, 1
unpleasantness, 1
unprovoked, 1
unsavory, 1
unseen, 1
unskilled, 1
until, 9
untimely, 1
unusual, 1
unwilling, 1
unwillingness, 1
up, 44
upper, 2
urge, 5
urged, 1
urges, 1
urinate, 1
use, 24
used, 10
useless, 1
users, 2
uses, 3
using, 5
usual, 1
usually, 1
uttering, 1
utterly, 2
vacancy, 1
vacant, 1
vain, 1
validity, 1
valonqar, 1
valuable, 2
value, 2
vanguard, 1
vary, 1
vast, 1
vault, 2
vegetative, 1
vehement, 1
vehemently, 1
veil, 1
veiled, 1
vengeance, 4
vengeful, 1
vent, 1
version, 1
very, 7
vezhven, 1
vicious, 1
viciousness, 1
victim, 1
victories, 1
victors, 1
victory, 2
video, 1
view, 5
village, 2
vindictive, 1
violence, 2
violent, 1
violently, 1
virgin, 3
virginity, 2
virtues, 1
vision, 2
visions, 6
visit, 7
visited, 1
visits, 6
visually, 1
voice, 4
volatile, 1
volleys, 2
vote, 1
votes, 1
vouche, 1
vouches, 1
vow, 8
vows, 3
vulnerable, 1
wagon, 1
waist, 1
wait, 6
waiting, 4
wake, 4
wakes, 2
walk, 10
walking, 3
walks, 1
walkway, 1
walls, 6
wandering, 1
waned, 2
want, 46
wanted, 5
wanting, 1
wants, 9
warlike, 1
warged, 1
warm, 3
warmly, 1
warn, 16
warned, 1
warning, 5
warns, 2
warrior, 1
warriorqueen, 1
warriors, 4
wars, 1
wary, 1
wash, 1
washed, 1
washing, 1
wasnt, 6
wasted, 1
wasting, 1
wastrels, 1
watched, 2
watchers, 1
watches, 4
watching, 2
waterfall, 1
waved, 1
waves, 1
way, 24
weak, 2
weaker, 1
weakness, 1
wealth, 2
wealthy, 1
weapon, 4
weapons, 3
wear, 16
wearing, 4
wears, 1
wed, 4
weep, 1
weeping, 1
weight, 1
weirwood, 7
weirwoods, 1
welcome, 1
well, 9
wellbeing, 1
wellspoken, 1
went, 3
were, 31
western, 1
wet, 1
wets, 1
wharf, 1
whatever, 2
wheel, 3
wheelchair, 1
wheelwrights, 2
whenever, 1
whether, 2
while, 23
whimpering, 1
whining, 1
whip, 1
whisk, 1
whisper, 1
whispers, 1
whizzes, 1
whole, 1
wholeheartedly, 1
whom, 3
whoms, 1
whore, 3
whorehouse, 1
whoremonger, 1
wideshots, 1
widowed, 2
wife, 10
wights, 20
wild, 2
wildly, 1
willful, 1
willing, 4
win, 10
windmill, 1
window, 2
wine, 7
wineseller, 1
wings, 2
winning, 4
wins, 4
wipe, 1
wipes, 1
wiser, 1
wish, 2
wishes, 3
wit, 1
witch, 1
with, 239
withdraw, 1
withhold, 2
withholds, 1
within, 5
witness, 3
witnessed, 1
witnesses, 1
wives, 2
wolfs, 1
wolves, 1
women, 14
won, 2
wont, 8
wonder, 2
wooden, 2
woods, 1
woos, 1
word, 3
words, 3
wore, 1
work, 12
working, 1
works, 1
worldview, 2
worried, 2
worries, 1
worry, 2
worse, 2
worsen, 1
worst, 1
would, 51
wouldnt, 2
wound, 1
wounded, 2
wounds, 7
wraps, 1
wrath, 1
write, 2
written, 1
wrong, 7
wrongdoings, 1
wronged, 1
wrongs, 1
wrote, 2
wrought, 1
wryly, 1
year, 2
years, 13
yelled, 1
yield, 1
younger, 4
youngest, 2
your, 3
youth, 4
youths, 1
zo, 6
